Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Bishop,992545136,35,35,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Bishop,992545136,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
OpticAlex,221577484,54,7,47,Jedi Master Kenobi: GK Bo-Katan G9 5* Aayla G12 Mace Negotiator GG Wat Tambor R1 MagnaGuard R3 Clone Sergeant G12 QGJ GMY Jango G12 Shaak Ti Cad G12 Cody G12
Capt Black,257644793,0,0,0,Leia Organa: Captain Rex Princess Kneesaa Wicket Lando Ackbar Scout Trooper R2-D2 Cpt Solo ROLO Chirpa Captain Drogan CLS Boushh (Leia Organa) Chewpio Lobot
Capt Black,257644793,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Capt Black,257644793,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Capt Black,257644793,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Capt Black,257644793,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
TheMisery,192456466,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
TheMisery,192456466,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
EdmundsV2,628862281,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
EdmundsV2,628862281,12,12,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
EdmundsV2,628862281,59,0,59,Sith Eternal Emperor: EP Vader RG G12 Piett Krennic G1 5* Sidious G11 Darth Maul G12 Dooku Sith Marauder G1 2* Imperial TIE Bomber JKA Thrawn R3 Tarkin G13 Veers Starck
Biscit29,868181172,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 4*
DarthVectivus,549936193,25,0,25,Rey: JTR G12 R2-D2 C-3PO BB-8 G12 RT Scav Rey R5 Finn Poe Vet Chewbacca G9 Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
DarthVectivus,549936193,52,0,52,Jedi Master Luke Skywalker: Old Ben R3 JTR G12 C-3PO Mon Mothma G1 5* Chewpio G10 JKL R2-D2 G8 Han Chewbacca R5 Rebel Y-wing 4* Leia HYoda R3 Wedge Biggs Lando R3
DarthVectivus,549936193,0,0,0,Jabba the Hutt: Krrsantan Han Gamorrean Guard Greedo Skiff Guard (Lando Calrissian) JKL Jawa URoRRuR'R'R C-3PO Boushh (Leia Organa) Aurra Fennec Shand Boba Mob Enforcer Outrider
DarthVectivus,549936193,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Archer,974471184,57,0,57,Jedi Master Luke Skywalker: Old Ben G12 JTR G8 C-3PO Mon Mothma G7 Chewpio JKL R2-D2 G12 Han Chewbacca Rebel Y-wing 4* Leia G9 HYoda Wedge G11 Biggs G8 Lando
Archer,974471184,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Xerasius,251935412,24,0,24,Rey: JTR G10 R2-D2 C-3PO BB-8 G8 RT Scav Rey R5 Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Xerasius,251935412,55,0,55,Jedi Master Luke Skywalker: Old Ben R3 JTR G10 C-3PO R4 Mon Mothma G1 5* Chewpio R1 JKL R2-D2 G9 Han R1 Chewbacca R4 Rebel Y-wing 0* Leia HYoda R4 Wedge Biggs Lando R3
Xerasius,251935412,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Sandakin Airstepper,348956666,40,24,16,Rey: JTR G12 R2-D2 C-3PO BB-8 G12 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Sandakin Airstepper,348956666,15,15,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
BiggWiggz,128595938,51,0,51,Leia Organa: Captain Rex R4 Princess Kneesaa G12 Wicket G7 Lando R3 Ackbar Scout Trooper G13 R2-D2 R5 Cpt Solo ROLO Chirpa G12 Captain Drogan G13 CLS Boushh (Leia Organa) G13 Chewpio Lobot G13
BiggWiggz,128595938,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
BiggWiggz,128595938,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
CronikdaHemphog,649191986,13,13,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
